"Gene"	"P-value"
"1"	"A1BG"	0.0158561233498128
"2"	"A1CF"	0.000597241971731832
"3"	"A2BP1"	0.777161592923832
"4"	"A2LD1"	0.00136752848205413
"5"	"A2M"	0.0653725853223284
"6"	"A2ML1"	0.0258355497137924
"7"	"A4GALT"	0.0555091212036625
"8"	"A4GNT"	0.73769181684367
"9"	"AAAS"	2.07120259404503e-05
"10"	"AACS"	0.0113592082502755
"11"	"AACSL"	0.375229141043506
"12"	"AADAC"	0.32749003981585
"13"	"AADACL4"	0.563540459621313
"14"	"AADAT"	0.91256425039415
"15"	"AAGAB"	0.919559709197317
"16"	"AAK1"	0.254047308330191
"17"	"AAMP"	0.0169518473247715
"18"	"AANAT"	0.000450038520096951
"19"	"AARS"	0.55026926907165
"20"	"AARS2"	0.177554593980814
"21"	"AARSD1"	0.967790585220719
"22"	"AASDH"	0.000124715037680523
"23"	"AASDHPPT"	0.54001726215683
"24"	"AASS"	0.976371675299666
"25"	"AATF"	0.61357753844829
"26"	"AATK"	0.955816579043788
"27"	"ABAT"	0.0855643586871154
"28"	"ABCA10"	0.459608683530664
"29"	"ABCA1"	0.0369204470987542
"30"	"ABCA11P"	0.932020837852366
"31"	"ABCA12"	0.854906957306569
"32"	"ABCA13"	0.0033834863208011
"33"	"ABCA17P"	0.0131798419778156
"34"	"ABCA2"	0.195306734029967
"35"	"ABCA3"	0.963779113069683
"36"	"ABCA4"	0.109108802098034
"37"	"ABCA5"	0.0705942970817559
"38"	"ABCA6"	0.462173985048849
"39"	"ABCA7"	0.0221489608800812
"40"	"ABCA8"	0.097841185053348
"41"	"ABCA9"	0.0835585635730794
"42"	"ABCB10"	0.0880893692857627
"43"	"ABCB11"	0.42260410289012
"44"	"ABCB1"	0.0308999463149493
"45"	"ABCB4"	0.00315233179661389
"46"	"ABCB5"	0.45092978857626
"47"	"ABCB6"	0.0786794687229644
"48"	"ABCB7"	0.0493729798850606
"49"	"ABCB8"	0.112253495720216
"50"	"ABCB9"	0.000155156670474832
"51"	"ABCC10"	0.00298914929799676
"52"	"ABCC11"	0.685622350982141
"53"	"ABCC13"	0.275012717187979
"54"	"ABCC1"	0.903590546208425
"55"	"ABCC2"	0.798385734721436
"56"	"ABCC3"	0.000947999188367743
"57"	"ABCC4"	0.0969484489253025
"58"	"ABCC5"	0.215717950257288
"59"	"ABCC6"	0.166506971772054
"60"	"ABCC6P1"	0.886341160457312
"61"	"ABCC6P2"	0.569811082922263
"62"	"ABCC8"	0.182708608882521
"63"	"ABCC9"	0.708226541807341
"64"	"ABCD1"	0.0099640494461416
"65"	"ABCD2"	0.420730956424463
"66"	"ABCD3"	0.00775805039189192
"67"	"ABCD4"	0.00762019652514401
"68"	"ABCE1"	0.693215687323241
"69"	"ABCF1"	0.461616644783223
"70"	"ABCF2"	0.346481203983911
"71"	"ABCF3"	0.316404510165082
"72"	"ABCG1"	0.00452911425251401
"73"	"ABCG2"	0.000193923156784237
"74"	"ABCG4"	0.983746657813201
"75"	"ABCG5"	0.622142186766449
"76"	"ABCG8"	0.122761279497579
"77"	"ABHD10"	0.00688898574223795
"78"	"ABHD11"	0.320218226688621
"79"	"ABHD12"	0.165726636743154
"80"	"ABHD12B"	0.257462221599056
"81"	"ABHD13"	0.0771063111869572
"82"	"ABHD14A"	0.349353906172827
"83"	"ABHD14B"	0.349663981784087
"84"	"ABHD15"	0.0687547230842283
"85"	"ABHD1"	0.0861748810815695
"86"	"ABHD2"	0.0150251353768657
"87"	"ABHD3"	0.195461437995766
"88"	"ABHD4"	0.482797136859008
"89"	"ABHD5"	0.293937800839334
"90"	"ABHD6"	2.22329909626007e-05
"91"	"ABHD8"	0.247294049133436
"92"	"ABI1"	0.0138270097214155
"93"	"ABI2"	0.0401777749088312
"94"	"ABI3"	0.0963891804290777
"95"	"ABI3BP"	0.0521899549630517
"96"	"ABL1"	0.132078403096538
"97"	"ABL2"	0.754836545868752
"98"	"ABLIM1"	0.00153644744173198
"99"	"ABLIM2"	0.0563459094703409
"100"	"ABLIM3"	0.00162068404726212
"101"	"ABO"	0.19090977849782
"102"	"ABP1"	0.0754508136117242
"103"	"ABR"	0.936239271832388
"104"	"ABRA"	0.570041223069245
"105"	"ABT1"	0.187865827148075
"106"	"ABTB1"	0.298523972660574
"107"	"ABTB2"	0.992791484661438
"108"	"ACAA1"	0.195600572402494
"109"	"ACAA2"	1.95631053010459e-05
"110"	"ACACA"	0.000635163431573105
"111"	"ACACB"	0.713083165717411
"112"	"ACAD10"	0.797452979806837
"113"	"ACAD11"	0.0140594095767202
"114"	"ACAD8"	0.0189753277477541
"115"	"ACAD9"	0.0559065464213618
"116"	"ACADL"	0.00133152728627906
"117"	"ACADM"	6.48640396172517e-07
"118"	"ACADS"	0.922217590756393
"119"	"ACADSB"	0.000413809204027671
"120"	"ACADVL"	0.133215461943758
"121"	"ACAN"	0.920291178079036
"122"	"ACAP1"	0.185112688316074
"123"	"ACAP2"	0.000467703012367204
"124"	"ACAP3"	0.00327815011824706
"125"	"ACAT1"	0.000149921221441973
"126"	"ACAT2"	0.649766401338207
"127"	"ACBD3"	0.0353836888098301
"128"	"ACBD4"	0.15345847768403
"129"	"ACBD5"	0.0124285230776242
"130"	"ACBD6"	0.207851755990053
"131"	"ACBD7"	0.00128113765996452
"132"	"ACCN1"	0.891234720818337
"133"	"ACCN2"	2.04197963714625e-05
"134"	"ACCN3"	8.89110229884693e-10
"135"	"ACCN4"	0.037690293898891
"136"	"ACCS"	0.411436424476486
"137"	"ACD"	0.258618053035085
"138"	"ACE"	0.0480126736785703
"139"	"ACE2"	0.00144113904829035
"140"	"ACER1"	0.524748709260775
"141"	"ACER2"	0.0110920970926155
"142"	"ACER3"	0.827043189874677
"143"	"ACHE"	0.00800072156537035
"144"	"ACIN1"	0.5109868412949
"145"	"ACLY"	0.00190752356273205
"146"	"ACMSD"	0.0292090677642673
"147"	"ACN9"	0.0998706601995166
"148"	"ACO1"	0.025154907806213
"149"	"ACO2"	0.0078544993994174
"150"	"ACOT11"	0.636904828060651
"151"	"ACOT12"	0.640778745133563
"152"	"ACOT13"	0.0588880794990431
"153"	"ACOT1"	0.148080243737857
"154"	"ACOT2"	0.0411902111711732
"155"	"ACOT4"	9.51850340900062e-05
"156"	"ACOT6"	0.2821286019868
"157"	"ACOT7"	0.914568633120352
"158"	"ACOT8"	0.317638049585172
"159"	"ACOT9"	0.285704650982082
"160"	"ACOX1"	3.54981840625657e-05
"161"	"ACOX2"	0.00127566261016865
"162"	"ACOX3"	0.580216898986789
"163"	"ACOXL"	0.109229090435546
"164"	"ACP1"	0.250476700144348
"165"	"ACP2"	0.0435057133256537
"166"	"ACP5"	0.00379254236783544
"167"	"ACP6"	0.0977176410704632
"168"	"ACPL2"	0.0955892492823832
"169"	"ACPP"	0.916034777326178
"170"	"ACR"	0.38288146640592
"171"	"ACRBP"	0.802413049468844
"172"	"ACRC"	0.00136345424462359
"173"	"ACRV1"	0.0161998677391214
"174"	"ACSBG1"	0.666378073500195
"175"	"ACSBG2"	0.96839863668687
