"Gene"	"P-value"
"1"	"A1BG"	0.0267369437982758
"2"	"A1CF"	0.00343884244304071
"3"	"A2BP1"	0.972866510180729
"4"	"A2LD1"	0.00254562848686812
"5"	"A2M"	0.179156160258648
"6"	"A2ML1"	0.789557129262511
"7"	"A4GALT"	0.0632457751153152
"8"	"A4GNT"	0.852279162061263
"9"	"AAAS"	0.000268875149640135
"10"	"AACS"	0.190005931993255
"11"	"AACSL"	0.595723807825428
"12"	"AADAC"	0.480890476100942
"13"	"AADACL4"	0.742509938538656
"14"	"AADAT"	0.477821357060108
"15"	"AAGAB"	0.926718471463808
"16"	"AAK1"	0.190272909714007
"17"	"AAMP"	0.267301901563751
"18"	"AANAT"	0.000871305459445582
"19"	"AARS"	0.805488611504261
"20"	"AARS2"	0.64296998996758
"21"	"AARSD1"	0.801737529690127
"22"	"AASDH"	0.00175752428806242
"23"	"AASDHPPT"	0.722288326550636
"24"	"AASS"	0.923204591131653
"25"	"AATF"	0.579121050325802
"26"	"AATK"	0.796301047399964
"27"	"ABAT"	0.261012572512158
"28"	"ABCA10"	0.773300121109913
"29"	"ABCA1"	0.129482080075442
"30"	"ABCA11P"	0.715308922190456
"31"	"ABCA12"	0.917551695801755
"32"	"ABCA13"	0.0045223913457566
"33"	"ABCA17P"	0.0185704125152275
"34"	"ABCA2"	0.690805195243223
"35"	"ABCA3"	0.967623106311632
"36"	"ABCA4"	0.143422495041973
"37"	"ABCA5"	0.327026307851863
"38"	"ABCA6"	0.451092235927783
"39"	"ABCA7"	0.0201559969980875
"40"	"ABCA8"	0.262590412514653
"41"	"ABCA9"	0.135993210163205
"42"	"ABCB10"	0.307713359755337
"43"	"ABCB11"	0.875330548923951
"44"	"ABCB1"	0.0523900969115655
"45"	"ABCB4"	0.0624582386801955
"46"	"ABCB5"	0.572999373364945
"47"	"ABCB6"	0.618421006787485
"48"	"ABCB7"	0.14816090342897
"49"	"ABCB8"	0.693651054088713
"50"	"ABCB9"	0.000101929461369776
"51"	"ABCC10"	0.00651822021975312
"52"	"ABCC11"	0.843833238513012
"53"	"ABCC13"	0.768479705853688
"54"	"ABCC1"	0.849570929170443
"55"	"ABCC2"	0.828343023222642
"56"	"ABCC3"	0.0103322509530501
"57"	"ABCC4"	0.0598231260820424
"58"	"ABCC5"	0.889128412338287
"59"	"ABCC6"	0.0705751731130208
"60"	"ABCC6P1"	0.404139101641105
"61"	"ABCC6P2"	0.70638246890858
"62"	"ABCC8"	0.790418270969231
"63"	"ABCC9"	0.94994048879619
"64"	"ABCD1"	0.0123830791205789
"65"	"ABCD2"	0.724397196881424
"66"	"ABCD3"	0.0380872245509107
"67"	"ABCD4"	0.10986923922792
"68"	"ABCE1"	0.832723640103364
"69"	"ABCF1"	0.72836810650141
"70"	"ABCF2"	0.912262903500567
"71"	"ABCF3"	0.916078468682166
"72"	"ABCG1"	0.0155336592003809
"73"	"ABCG2"	0.00248572303718908
"74"	"ABCG4"	0.976179338039096
"75"	"ABCG5"	0.478692256295738
"76"	"ABCG8"	0.473250038146811
"77"	"ABHD10"	0.0275710233558083
"78"	"ABHD11"	0.869040954960741
"79"	"ABHD12"	0.373935245817744
"80"	"ABHD12B"	0.496347629658773
"81"	"ABHD13"	0.192677367928898
"82"	"ABHD14A"	0.504053836515851
"83"	"ABHD14B"	0.326510201885632
"84"	"ABHD15"	0.915362257593431
"85"	"ABHD1"	0.949731887115282
"86"	"ABHD2"	0.123865290991874
"87"	"ABHD3"	0.1850879768545
"88"	"ABHD4"	0.694255718572938
"89"	"ABHD5"	0.637370854085838
"90"	"ABHD6"	0.0019979595422952
"91"	"ABHD8"	0.736523031154951
"92"	"ABI1"	0.214687980556002
"93"	"ABI2"	0.137148420282351
"94"	"ABI3"	0.402263197975232
"95"	"ABI3BP"	0.186025988112634
"96"	"ABL1"	0.385530122719382
"97"	"ABL2"	0.921406045433798
"98"	"ABLIM1"	0.0041728714872088
"99"	"ABLIM2"	0.168798471766444
"100"	"ABLIM3"	0.0249202333904988
"101"	"ABO"	0.594818783544897
"102"	"ABP1"	0.354274525144468
"103"	"ABR"	0.866498076408851
"104"	"ABRA"	0.874521471762223
"105"	"ABT1"	0.5471577497765
"106"	"ABTB1"	0.771514181144321
"107"	"ABTB2"	0.953762445017361
"108"	"ACAA1"	0.140286783266278
"109"	"ACAA2"	0.000913262079779376
"110"	"ACACA"	0.0152208965768988
"111"	"ACACB"	0.885571266653093
"112"	"ACAD10"	0.883173141975832
"113"	"ACAD11"	0.153791231174284
"114"	"ACAD8"	0.0552522134441831
"115"	"ACAD9"	0.188346402783503
"116"	"ACADL"	0.044532830244714
"117"	"ACADM"	2.02252649842416e-05
"118"	"ACADS"	0.930447280252866
"119"	"ACADSB"	0.00133292036646993
"120"	"ACADVL"	0.334041007747524
"121"	"ACAN"	0.905663686120424
"122"	"ACAP1"	0.259756300302863
"123"	"ACAP2"	0.0312169224681126
"124"	"ACAP3"	0.00102031413834258
"125"	"ACAT1"	0.00642662302450103
"126"	"ACAT2"	0.715727676393446
"127"	"ACBD3"	0.172888051671426
"128"	"ACBD4"	0.430738234744716
"129"	"ACBD5"	0.106739871463778
"130"	"ACBD6"	0.257189210407141
"131"	"ACBD7"	0.0283926094907696
"132"	"ACCN1"	0.897100816288408
"133"	"ACCN2"	3.65164140575525e-05
"134"	"ACCN3"	2.49223133241827e-08
"135"	"ACCN4"	0.103163360008947
"136"	"ACCS"	0.162075029783209
"137"	"ACD"	0.365447185137602
"138"	"ACE"	0.141736003374114
"139"	"ACE2"	0.00667822649896022
"140"	"ACER1"	0.305245686047987
"141"	"ACER2"	0.0365779199707336
"142"	"ACER3"	0.940623768078204
"143"	"ACHE"	0.029548021058606
"144"	"ACIN1"	0.549831052319915
"145"	"ACLY"	0.0111573148010904
"146"	"ACMSD"	0.117427445885444
"147"	"ACN9"	0.386915687123252
"148"	"ACO1"	0.184306817749304
"149"	"ACO2"	0.0284616283130018
"150"	"ACOT11"	0.835342816473554
"151"	"ACOT12"	0.697823447270626
"152"	"ACOT13"	0.108240618365617
"153"	"ACOT1"	0.870715433473704
"154"	"ACOT2"	0.183868719638101
"155"	"ACOT4"	0.000618251872133824
"156"	"ACOT6"	0.86683273329005
"157"	"ACOT7"	0.921295384600646
"158"	"ACOT8"	0.398159215486206
"159"	"ACOT9"	0.398072612088807
"160"	"ACOX1"	0.000289794049257219
"161"	"ACOX2"	0.0086188633534815
"162"	"ACOX3"	0.774502753771311
"163"	"ACOXL"	0.173364937936558
"164"	"ACP1"	0.48785179653588
"165"	"ACP2"	0.130667151213944
"166"	"ACP5"	0.453509474021479
"167"	"ACP6"	0.143243121407263
"168"	"ACPL2"	0.248873732817415
"169"	"ACPP"	0.976113307588584
"170"	"ACR"	0.514500755580258
"171"	"ACRBP"	0.940638203189083
"172"	"ACRC"	0.00273038821074167
"173"	"ACRV1"	0.0239299404377398
"174"	"ACSBG1"	0.969163063554579
"175"	"ACSBG2"	0.972508885254354
"176"	"ACSF2"	0.412364008555108
"177"	"ACSF3"	0.176466870863803
"178"	"ACSL1"	0.0401655405667912
"179"	"ACSL3"	0.870679464965052
"180"	"ACSL4"	0.770434590887068
"181"	"ACSL5"	0.976504077084577
"182"	"ACSL6"	0.695582696962764
"183"	"ACSM1"	0.311085611247081
"184"	"ACSM2A"	0.795106104395757
"185"	"ACSM2B"	0.443414432736687
"186"	"ACSM3"	0.886455300240572
"187"	"ACSM5"	0.218919340442966
"188"	"ACSS1"	0.861520378297054
"189"	"ACSS2"	0.225130407909712
"190"	"ACSS3"	0.112392328757964
"191"	"ACTA1"	0.894625254784457
"192"	"ACTA2"	0.785160833386204
"193"	"ACTB"	0.22638194596759
"194"	"ACTBL2"	0.0345618038831902
"195"	"ACTC1"	0.582744684256742
"196"	"ACTG1"	0.91703699175765
"197"	"ACTG2"	0.787437914623096
"198"	"ACTL6A"	0.909682416449244
"199"	"ACTL8"	1.61595144176907e-06
"200"	"ACTN1"	0.862139409652361
"201"	"ACTN2"	6.9000878249903e-05
"202"	"ACTN3"	0.928296120463226
"203"	"ACTN4"	0.0265894974009994
"204"	"ACTR10"	0.00454646227902689
"205"	"ACTR1A"	0.893024865409016
"206"	"ACTR1B"	0.333460321921988
"207"	"ACTR2"	0.872192776402863
"208"	"ACTR3"	0.0791688076782379
"209"	"ACTR3B"	0.85878216350812
"210"	"ACTR3C"	0.610715113444204
"211"	"ACTR5"	0.908020042872988
"212"	"ACTR6"	0.325495905005226
"213"	"ACTR8"	0.166249773337605
"214"	"ACVR1"	0.418227445967944
"215"	"ACVR1B"	0.74344269371706
"216"	"ACVR1C"	0.318041861750771
"217"	"ACVR2A"	0.00100969996188727
"218"	"ACVR2B"	0.0197919083126724
"219"	"ACVRL1"	0.0999635574037246
"220"	"ACY1"	0.016264849858596
"221"	"ACY3"	0.115990159318466
"222"	"ACYP1"	0.89710027598959
"223"	"ACYP2"	0.750059137315562
"224"	"ADA"	0.000503228852140269
"225"	"ADAD2"	0.0441660428212239
"226"	"ADAL"	0.185810428933699
"227"	"ADAM10"	0.134227118045057
"228"	"ADAM11"	6.5093418084361e-05
"229"	"ADAM12"	2.55288964925438e-05
"230"	"ADAM15"	0.973350533611356
"231"	"ADAM17"	0.800092667695941
"232"	"ADAM18"	0.276694071879959
"233"	"ADAM19"	0.0181576025011208
"234"	"ADAM20"	0.580665215376713
"235"	"ADAM21"	0.907931203656009
"236"	"ADAM21P1"	0.719512371475286
"237"	"ADAM22"	0.0386635016186241
"238"	"ADAM23"	0.70688289656289
"239"	"ADAM28"	0.951140984797739
"240"	"ADAM29"	0.928156250912161
"241"	"ADAM32"	0.00743666006129329
"242"	"ADAM33"	0.044668092630588
"243"	"ADAM6"	0.168058261918005
"244"	"ADAM7"	0.166861686605452
"245"	"ADAM8"	4.80274860858998e-06
"246"	"ADAM9"	0.805413130261303
"247"	"ADAMDEC1"	0.745205695502796
"248"	"ADAMTS10"	0.00205289928252628
"249"	"ADAMTS12"	0.830039328008684
"250"	"ADAMTS13"	0.00887093843228726
"251"	"ADAMTS14"	5.37564204261542e-09
"252"	"ADAMTS15"	0.917043143645391
"253"	"ADAMTS16"	0.391874578145347
"254"	"ADAMTS17"	0.966735647538889
"255"	"ADAMTS18"	0.903355173629139
"256"	"ADAMTS19"	0.174769866549025
"257"	"ADAMTS1"	0.944687783233648
"258"	"ADAMTS20"	0.772510647984856
"259"	"ADAMTS2"	0.923923783250445
"260"	"ADAMTS3"	0.490091204009975
"261"	"ADAMTS4"	0.240554833718206
"262"	"ADAMTS5"	0.791570313668877
"263"	"ADAMTS6"	0.393213963614159
"264"	"ADAMTS7"	0.823279104047483
"265"	"ADAMTS8"	0.942970039681739
"266"	"ADAMTS9"	0.967979684613026
