"Gene"	"P-value"
"1"	"A1BG"	0.00143555432335174
"2"	"A1CF"	4.45630949458264e-05
"3"	"A2BP1"	0.901133250831371
"4"	"A2LD1"	0.000106163267802217
"5"	"A2M"	0.00675429356610524
"6"	"A2ML1"	0.216722414314947
"7"	"A4GALT"	0.00517462143383929
"8"	"A4GNT"	0.222999237646975
"9"	"AAAS"	1.55245145907479e-05
"10"	"AACS"	0.0483303405979809
"11"	"AACSL"	0.0455925557662061
"12"	"AADAC"	0.051569002528622
"13"	"AADACL4"	0.36772547352802
"14"	"AADAT"	0.659740594101426
"15"	"AAGAB"	0.830486995737503
"16"	"AAK1"	0.0286057791772539
"17"	"AAMP"	0.00920326744987676
"18"	"AANAT"	6.2498309395087e-05
"19"	"AARS"	0.390920977973323
"20"	"AARS2"	0.222852426634048
"21"	"AARSD1"	0.701830326356302
"22"	"AASDH"	2.12774128223181e-05
"23"	"AASDHPPT"	0.133316391927918
"24"	"AASS"	0.80744278031073
"25"	"AATF"	0.396270639085095
"26"	"AATK"	0.513468733941827
"27"	"ABAT"	0.00123755779747459
"28"	"ABCA10"	0.169035525373568
"29"	"ABCA1"	0.0132910779090444
"30"	"ABCA11P"	0.380018454156727
"31"	"ABCA12"	0.312157974420192
"32"	"ABCA13"	0.000822899870878357
"33"	"ABCA17P"	0.00291177099485462
"34"	"ABCA2"	0.177035555651217
"35"	"ABCA3"	0.921434956648475
"36"	"ABCA4"	0.0222819479969574
"37"	"ABCA5"	0.0199857740370287
"38"	"ABCA6"	0.271943868363994
"39"	"ABCA7"	0.0108979540032488
"40"	"ABCA8"	0.0148672702962026
"41"	"ABCA9"	0.0155229826322301
"42"	"ABCB10"	0.0367529639553986
"43"	"ABCB11"	0.273371997801212
"44"	"ABCB1"	0.000709313783664345
"45"	"ABCB4"	0.000166591993075227
"46"	"ABCB5"	0.553551744816087
"47"	"ABCB6"	0.176652879567769
"48"	"ABCB7"	0.00157039220047195
"49"	"ABCB8"	0.347225890395551
"50"	"ABCB9"	4.51030083891135e-05
"51"	"ABCC10"	0.0015187617846748
"52"	"ABCC11"	0.378427848868635
"53"	"ABCC13"	0.402662455880437
"54"	"ABCC1"	0.241014645077903
"55"	"ABCC2"	0.395971899176623
"56"	"ABCC3"	0.000403807621218721
"57"	"ABCC4"	0.00615029199202088
"58"	"ABCC5"	0.593763531317023
"59"	"ABCC6"	0.031642459841779
"60"	"ABCC6P1"	0.333839023910823
"61"	"ABCC6P2"	0.0749233648829005
"62"	"ABCC8"	0.973180578539648
"63"	"ABCC9"	0.598957209259027
"64"	"ABCD1"	0.00171272190924765
"65"	"ABCD2"	0.321658158693684
"66"	"ABCD3"	0.000560191496111195
"67"	"ABCD4"	0.0112707788267875
"68"	"ABCE1"	0.347421366251283
"69"	"ABCF1"	0.12798773079206
"70"	"ABCF2"	0.837622860243093
"71"	"ABCF3"	0.376005378354541
"72"	"ABCG1"	0.000135697028250781
"73"	"ABCG2"	3.47303762836537e-05
"74"	"ABCG4"	0.838947832262102
"75"	"ABCG5"	0.245119573094713
"76"	"ABCG8"	0.118003535433848
"77"	"ABHD10"	0.000711294832088538
"78"	"ABHD11"	0.78590693402539
"79"	"ABHD12"	0.213998157277856
"80"	"ABHD12B"	0.0583397297920815
"81"	"ABHD13"	0.00726399236252129
"82"	"ABHD14A"	0.179948331026772
"83"	"ABHD14B"	0.0361287136797451
"84"	"ABHD15"	0.433639296684049
"85"	"ABHD1"	0.224815620062671
"86"	"ABHD2"	0.00644983820311118
"87"	"ABHD3"	0.0817584898935786
"88"	"ABHD4"	0.0870112215170399
"89"	"ABHD5"	0.0141129011699702
"90"	"ABHD6"	1.93689962924015e-06
"91"	"ABHD8"	0.747650260857699
"92"	"ABI1"	0.0183613924403652
"93"	"ABI2"	0.00379771659449724
"94"	"ABI3"	0.0333974381410862
"95"	"ABI3BP"	0.00570792896038241
"96"	"ABL1"	0.0264321092052564
"97"	"ABL2"	0.247182846017416
"98"	"ABLIM1"	3.96167442486828e-05
"99"	"ABLIM2"	0.050684904039476
"100"	"ABLIM3"	0.000105918269899252
"101"	"ABO"	0.0752992580857703
"102"	"ABP1"	0.0299347271843222
"103"	"ABR"	0.517686138932692
"104"	"ABRA"	0.717233797894718
"105"	"ABT1"	0.0910506410874294
"106"	"ABTB1"	0.603051271245242
"107"	"ABTB2"	0.688647654937104
"108"	"ACAA1"	0.0103176584783918
"109"	"ACAA2"	1.33974587290808e-06
"110"	"ACACA"	0.0161099436958088
"111"	"ACACB"	0.249325678189551
"112"	"ACAD10"	0.326638642214119
"113"	"ACAD11"	0.00249232047772929
"114"	"ACAD8"	0.000637433930215092
"115"	"ACAD9"	0.0196774824535642
"116"	"ACADL"	0.000790231371590955
"117"	"ACADM"	4.90378606610165e-08
"118"	"ACADS"	0.23575686611682
"119"	"ACADSB"	2.72935866529878e-06
"120"	"ACADVL"	0.189735848699803
"121"	"ACAN"	0.358373238733398
"122"	"ACAP1"	0.0249079884785403
"123"	"ACAP2"	0.00110156797320082
"124"	"ACAP3"	0.000222004714700463
"125"	"ACAT1"	1.06823919817645e-05
"126"	"ACAT2"	0.423361916930332
"127"	"ACBD3"	0.0339647941753711
"128"	"ACBD4"	0.0440405064134647
"129"	"ACBD5"	0.000581940107414303
"130"	"ACBD6"	0.133032665736526
"131"	"ACBD7"	0.000464355880005374
"132"	"ACCN1"	0.76517623672546
"133"	"ACCN2"	3.91044418068809e-07
"134"	"ACCN3"	4.65312233188797e-10
"135"	"ACCN4"	0.00165652957709983
"136"	"ACCS"	0.0996178645846629
"137"	"ACD"	0.106858629157209
"138"	"ACE"	0.00750777810911074
"139"	"ACE2"	6.63272418598426e-05
"140"	"ACER1"	0.121302929667763
"141"	"ACER2"	0.000188390702171914
"142"	"ACER3"	0.826709352637063
"143"	"ACHE"	0.000701444051311784
"144"	"ACIN1"	0.128368971386026
"145"	"ACLY"	2.92680505048493e-05
"146"	"ACMSD"	0.00418808180491259
"147"	"ACN9"	0.0807643585138339
"148"	"ACO1"	0.0133093339542171
"149"	"ACO2"	0.000227638685825871
"150"	"ACOT11"	0.116631292880154
"151"	"ACOT12"	0.663148660415902
"152"	"ACOT13"	0.00358469430977182
"153"	"ACOT1"	0.246766367903677
"154"	"ACOT2"	0.00628026850816632
"155"	"ACOT4"	1.90993527737771e-06
"156"	"ACOT6"	0.325773819393038
"157"	"ACOT7"	0.447459020785181
"158"	"ACOT8"	0.38707915722746
"159"	"ACOT9"	0.0369047969294884
"160"	"ACOX1"	7.15585312227596e-07
"161"	"ACOX2"	4.14486967786898e-05
"162"	"ACOX3"	0.197953675285072
"163"	"ACOXL"	0.0194391203817809
"164"	"ACP1"	0.03747748744547
"165"	"ACP2"	0.00684529632003406
"166"	"ACP5"	0.133496735450671
"167"	"ACP6"	0.017863190283631
"168"	"ACPL2"	0.00677024273669413
"169"	"ACPP"	0.855354942032176
"170"	"ACR"	0.397642776205477
"171"	"ACRBP"	0.852596421723508
"172"	"ACRC"	2.02053876651176e-05
"173"	"ACRV1"	0.000640850488527911
"174"	"ACSBG1"	0.934475105685767
"175"	"ACSBG2"	0.992774631297494
"176"	"ACSF2"	0.395114734902812
"177"	"ACSF3"	0.00460207416769798
"178"	"ACSL1"	0.00131025691302478
"179"	"ACSL3"	0.0945787234374478
"180"	"ACSL4"	0.415764501513331
"181"	"ACSL5"	0.602214285318678
"182"	"ACSL6"	0.0337178166540752
"183"	"ACSM1"	0.316638518317819
"184"	"ACSM2A"	0.670029747320148
"185"	"ACSM2B"	0.0628058734205093
"186"	"ACSM3"	0.202846430801003
"187"	"ACSM5"	0.0219354805583705
"188"	"ACSS1"	0.434353187776279
"189"	"ACSS2"	0.747959052921944
"190"	"ACSS3"	0.000415805648490308
"191"	"ACTA1"	0.379099368915693
"192"	"ACTA2"	0.382673602047759
