"Gene"	"P-value"
"1"	"A1BG"	0.00448211077719796
"2"	"A1CF"	0.451605915147436
"3"	"A2BP1"	0.461486344512759
"4"	"A2LD1"	0.094305275270581
"5"	"A2M"	0.000514438338756751
"6"	"A2ML1"	0.306424460625643
"7"	"A4GALT"	0.117483650221124
"8"	"A4GNT"	0.0712823786984252
"9"	"AAAS"	0.199528831321523
"10"	"AACS"	0.428449413955403
"11"	"AACSL"	0.0394176678012859
"12"	"AADAT"	0.119313623838698
"13"	"AAGAB"	0.352126707385131
"14"	"AAK1"	0.425517479519467
"15"	"AAMP"	0.00139534563140553
"16"	"AANAT"	0.476427137006568
"17"	"AARS"	0.264873286737315
"18"	"AARS2"	0.348682166555989
"19"	"AARSD1"	0.317373186192161
"20"	"AASDH"	0.062643344735992
"21"	"AASDHPPT"	0.268088876196565
"22"	"AASS"	0.433089710926093
"23"	"AATF"	0.00139283675689694
"24"	"AATK"	0.000268199633517097
"25"	"ABAT"	0.0923633802221318
"26"	"ABCA10"	0.165909549552342
"27"	"ABCA1"	0.310380081676551
"28"	"ABCA11P"	0.0246399538159238
"29"	"ABCA12"	0.00756263585786288
"30"	"ABCA13"	0.228015285812255
"31"	"ABCA17P"	0.0452706143343091
"32"	"ABCA2"	0.0181186442048765
"33"	"ABCA3"	0.140985089792686
"34"	"ABCA4"	0.000471059931182016
"35"	"ABCA5"	0.04841627372785
"36"	"ABCA6"	0.497706312899154
"37"	"ABCA7"	0.0755263522512013
"38"	"ABCA8"	0.0940100208129682
"39"	"ABCA9"	0.323677324014112
"40"	"ABCB10"	0.27466801759128
"41"	"ABCB11"	0.004196737631046
"42"	"ABCB1"	0.37502256848668
"43"	"ABCB4"	0.0666244427034548
"44"	"ABCB5"	0.370241905183799
"45"	"ABCB6"	4.05892616405223e-05
"46"	"ABCB7"	0.371869633348137
"47"	"ABCB8"	0.267501353570357
"48"	"ABCB9"	0.0483640676683558
"49"	"ABCC10"	0.146366941255349
"50"	"ABCC11"	0.3244592717077
"51"	"ABCC13"	0.0177742459191312
"52"	"ABCC1"	0.00107490500533169
"53"	"ABCC2"	0.00383632821192004
"54"	"ABCC3"	0.0106342396238791
"55"	"ABCC4"	0.0359595718896049
"56"	"ABCC5"	0.509468010299199
