"Gene"	"P-value"
"1"	"A1BG"	6.84351166835295e-06
"2"	"A1CF"	0.0302934349812986
"3"	"A2BP1"	0.00889539875501821
"4"	"A2LD1"	0.399219442131053
"5"	"A2M"	0.0439440111241742
"6"	"A2ML1"	0.00709804274484205
"7"	"A4GALT"	0.229641521925364
"8"	"A4GNT"	0.227918277281476
"9"	"AAAS"	0.141740754536181
"10"	"AACS"	0.0145685731239378
"11"	"AACSL"	0.214873009705294
"12"	"AADAT"	0.00825382484810799
"13"	"AAGAB"	1.98345444615278e-05
"14"	"AAK1"	2.82220247569409e-05
"15"	"AAMP"	7.94576736407038e-07
"16"	"AANAT"	0.500534917215392
"17"	"AARS"	0.015342317524655
"18"	"AARS2"	3.97617709813058e-06
"19"	"AARSD1"	0.256260658378362
"20"	"AASDH"	0.229797171761322
"21"	"AASDHPPT"	0.0088483477582233
"22"	"AASS"	0.0313433877081752
"23"	"AATF"	0.000525534817124917
"24"	"AATK"	0.00140520622729612
"25"	"ABAT"	0.171940125956924
"26"	"ABCA10"	0.0543008657968749
"27"	"ABCA1"	0.117995444082916
"28"	"ABCA11P"	0.291359337606048
"29"	"ABCA12"	8.82950002223382e-07
"30"	"ABCA13"	0.233592397347685
"31"	"ABCA17P"	0.0164614023726772
"32"	"ABCA2"	0.0401909067775639
"33"	"ABCA3"	0.212433158614299
"34"	"ABCA4"	7.42512840101739e-09
"35"	"ABCA5"	0.0434461100612586
"36"	"ABCA6"	0.0404565911838712
"37"	"ABCA7"	0.161486681334912
"38"	"ABCA8"	4.90838218569767e-06
"39"	"ABCA9"	0.338908904857078
"40"	"ABCB10"	0.0534325063922356
"41"	"ABCB11"	0.051489326702696
"42"	"ABCB1"	0.029616520485661
"43"	"ABCB4"	3.10012219284506e-06
"44"	"ABCB5"	0.460046033869724
"45"	"ABCB6"	7.75206250303029e-08
"46"	"ABCB7"	2.46154906320406e-05
"47"	"ABCB8"	0.249397487766059
"48"	"ABCB9"	0.0092912855655638
"49"	"ABCC10"	0.417961921457148
"50"	"ABCC11"	6.9584715703952e-06
"51"	"ABCC13"	0.0289865125308435
