"Gene"	"P-value"
"1"	"A1BG"	0.115908973311339
"2"	"A1CF"	0.622805446807964
"3"	"A2BP1"	0.727636644263881
"4"	"A2LD1"	0.569108761919382
"5"	"A2M"	0.086041928933589
"6"	"A2ML1"	0.18383907227835
"7"	"A4GALT"	0.253251855067304
"8"	"A4GNT"	0.656170171175461
"9"	"AAAS"	0.214318983867721
"10"	"AACS"	0.663858455514143
"11"	"AACSL"	0.972337405651294
"12"	"AADAT"	0.420798068851207
"13"	"AAGAB"	0.465590601737087
"14"	"AAK1"	0.828198339537003
"15"	"AAMP"	0.00504300729741869
"16"	"AANAT"	0.972028296675645
"17"	"AARS"	0.22579245737122
"18"	"AARS2"	0.429765058124798
"19"	"AARSD1"	0.989071896501864
"20"	"AASDH"	0.989301818443675
"21"	"AASDHPPT"	0.937150484877676
"22"	"AASS"	0.494437347862226
"23"	"AATF"	0.000125821992029596
"24"	"AATK"	0.00775876540671516
"25"	"ABAT"	0.116575305517146
"26"	"ABCA10"	0.988478500945354
"27"	"ABCA1"	0.62755024440898
"28"	"ABCA11P"	0.411208473438086
"29"	"ABCA12"	0.00440938167433769
"30"	"ABCA13"	0.936077527496028
"31"	"ABCA17P"	0.0216727410830001
"32"	"ABCA2"	0.0340288904851889
"33"	"ABCA3"	0.852987574156318
"34"	"ABCA4"	5.76163602005186e-05
"35"	"ABCA5"	0.359630777371572
"36"	"ABCA6"	0.812520905665995
"37"	"ABCA7"	0.521789467246955
"38"	"ABCA8"	0.0690216886381799
"39"	"ABCA9"	0.72305569135869
"40"	"ABCB10"	0.158591592041048
"41"	"ABCB11"	0.121311007340384
"42"	"ABCB1"	0.47691060501113
"43"	"ABCB4"	0.0257451484470776
"44"	"ABCB5"	0.432438159695957
"45"	"ABCB6"	3.77719914941288e-05
"46"	"ABCB7"	0.996973528889708
"47"	"ABCB8"	0.359681893233308
"48"	"ABCB9"	0.0812123894800784
"49"	"ABCC10"	0.716798064293227
"50"	"ABCC11"	0.366353493474245
"51"	"ABCC13"	0.0212765340580977
"52"	"ABCC1"	0.0103055041814923
"53"	"ABCC2"	0.00149688790050839
"54"	"ABCC3"	0.0252830999853257
"55"	"ABCC4"	0.02102216658157
"56"	"ABCC5"	0.848850691456668
"57"	"ABCC6"	0.107479448174834
"58"	"ABCC6P1"	0.463147340439425
"59"	"ABCC6P2"	0.990215290621825
"60"	"ABCC8"	0.0437815284074814
"61"	"ABCC9"	0.106314253894849
"62"	"ABCD1"	0.221403503685403
"63"	"ABCD2"	0.00144106296478719
"64"	"ABCD3"	0.284076666743385
"65"	"ABCD4"	0.267558755024167
"66"	"ABCE1"	0.00835793925492234
"67"	"ABCF1"	0.339643560848352
"68"	"ABCF2"	0.21581112664121
"69"	"ABCF3"	0.990471827562229
"70"	"ABCG1"	0.0517130613222097
"71"	"ABCG2"	0.60552964066329
"72"	"ABCG4"	0.876819246221301
"73"	"ABCG5"	0.574826142828843
"74"	"ABCG8"	0.437581244601908
"75"	"ABHD10"	0.55503827710098
"76"	"ABHD11"	0.28396120624897
"77"	"ABHD12"	0.312366461564444
"78"	"ABHD12B"	0.463554355120738
"79"	"ABHD13"	0.6050849299046
"80"	"ABHD14A"	0.102895901483443
"81"	"ABHD14B"	0.0442524817803862
"82"	"ABHD15"	0.638210508537624
"83"	"ABHD1"	0.118862718142498
"84"	"ABHD2"	0.368343489085003
"85"	"ABHD3"	0.360634091417731
"86"	"ABHD4"	0.0760187173868602
"87"	"ABHD5"	0.332933962369251
"88"	"ABHD6"	0.0121049035911541
"89"	"ABHD8"	0.974329764909541
"90"	"ABI1"	0.105800183986994
"91"	"ABI2"	0.283115832450286
"92"	"ABI3"	0.933600585027043
"93"	"ABI3BP"	0.34107138190468
"94"	"ABL1"	0.749617564131726
"95"	"ABL2"	0.00575072044323788
"96"	"ABLIM1"	0.59228297796586
"97"	"ABLIM2"	0.78912060434361
"98"	"ABLIM3"	0.617055275251773
"99"	"ABO"	0.889731703267309
"100"	"ABP1"	0.264840309153424
"101"	"ABR"	0.108877710655182
"102"	"ABRA"	0.159878802198656
"103"	"ABT1"	0.0853266206044214
"104"	"ABTB1"	0.621612518981382
"105"	"ABTB2"	0.269364007966638
"106"	"ACAA1"	0.0256613751183188
"107"	"ACAA2"	0.0208812507533199
"108"	"ACACA"	0.100254844957874
"109"	"ACACB"	0.910828445215406
"110"	"ACAD10"	0.00506724902148425
"111"	"ACAD11"	0.248187433557915
"112"	"ACAD8"	0.00577548686849916
"113"	"ACAD9"	0.829064089031858
"114"	"ACADL"	0.844441695131988
"115"	"ACADM"	0.026633269779429
"116"	"ACADS"	0.341095257190303
"117"	"ACADSB"	0.191965164340228
"118"	"ACADVL"	0.23326916991456
"119"	"ACAN"	1.36537423589544e-08
"120"	"ACAP1"	0.0859045180327873
"121"	"ACAP2"	0.0199194858413814
"122"	"ACAP3"	0.120711749629674
"123"	"ACAT1"	0.0184078549080864
"124"	"ACAT2"	0.373423631700484
"125"	"ACBD3"	0.0148706144608201
"126"	"ACBD4"	0.126624271479065
"127"	"ACBD5"	0.833987787866466
"128"	"ACBD6"	0.0988308156647004
"129"	"ACBD7"	0.000950683251700446
"130"	"ACCN1"	0.992668183899803
"131"	"ACCN2"	8.23766540015702e-05
"132"	"ACCN3"	0.000447935208537253
"133"	"ACCN4"	0.0118418570915839
"134"	"ACCS"	0.354727092472161
"135"	"ACD"	0.578564538610216
"136"	"ACE"	0.314735297687584
"137"	"ACE2"	0.327735336382442
"138"	"ACER1"	0.24498609508933
"139"	"ACER2"	0.218480564871558
"140"	"ACER3"	0.778486475897584
"141"	"ACHE"	0.857889924038291
"142"	"ACIN1"	0.905422932287393
"143"	"ACLY"	0.318846900500782
"144"	"ACMSD"	0.227631659444391
"145"	"ACN9"	0.381511213198745
"146"	"ACO1"	0.625165163885683
"147"	"ACO2"	0.00343061134271871
"148"	"ACOT11"	0.363531801520934
"149"	"ACOT12"	0.456374446405067
"150"	"ACOT13"	0.328891510413976
"151"	"ACOT1"	0.897813350200856
"152"	"ACOT2"	0.138084797036097
"153"	"ACOT4"	0.778311150823817
"154"	"ACOT6"	0.938310067295727
"155"	"ACOT7"	0.11140000096558
"156"	"ACOT8"	0.149477251371863
"157"	"ACOT9"	0.654540836545491
"158"	"ACOX1"	0.506975939521763
"159"	"ACOX2"	0.54916230227684
"160"	"ACOX3"	0.141508282180533
"161"	"ACOXL"	0.497044608537558
"162"	"ACP1"	0.126457685456066
"163"	"ACP2"	0.330033151813284
"164"	"ACP5"	0.437525738956828
"165"	"ACP6"	0.423332029100162
"166"	"ACPL2"	0.127172488857556
"167"	"ACPP"	0.756868934466115
"168"	"ACR"	0.352772115070794
"169"	"ACRBP"	0.807883492222196
"170"	"ACRC"	0.701845536520948
"171"	"ACRV1"	0.0304701237488908
"172"	"ACSBG1"	0.401662293595534
"173"	"ACSBG2"	0.741533376361635
"174"	"ACSF2"	0.367387055811701
"175"	"ACSF3"	0.00147294777109175
"176"	"ACSL1"	0.592293053079549
"177"	"ACSL3"	0.0313838848150972
"178"	"ACSL4"	0.0399955478765852
"179"	"ACSL5"	0.55490349911364
"180"	"ACSL6"	0.131078240957144
"181"	"ACSM1"	0.13026583125712
"182"	"ACSM2A"	0.264298258122778
"183"	"ACSM2B"	0.730934982895356
"184"	"ACSM3"	0.73909253213964
"185"	"ACSM5"	0.776167400044648
"186"	"ACSS1"	0.563470089355094
"187"	"ACSS2"	0.517543138880869
"188"	"ACSS3"	0.00488198428467834
"189"	"ACTA1"	0.671909853814079
"190"	"ACTA2"	3.78115198667039e-05
"191"	"ACTB"	0.309338088562029
"192"	"ACTBL2"	0.0307669257615045
"193"	"ACTC1"	0.00125895181594782
"194"	"ACTG1"	0.132760215487423
"195"	"ACTG2"	2.66905028245557e-06
"196"	"ACTL6A"	0.0313173867157941
"197"	"ACTL8"	1.35878563189973e-06
"198"	"ACTN1"	0.0173211665320924
"199"	"ACTN2"	0.0566241680519168
"200"	"ACTN3"	0.614092696894567
"201"	"ACTN4"	0.80634729981742
"202"	"ACTR10"	0.320114941015099
"203"	"ACTR1A"	0.122833705282563
"204"	"ACTR1B"	0.762819496811113
"205"	"ACTR2"	0.0279854989939785
"206"	"ACTR3"	0.00642441467955113
"207"	"ACTR3B"	0.843414166196933
"208"	"ACTR3C"	0.0886427205792297
"209"	"ACTR5"	0.686794808214665
"210"	"ACTR6"	0.551272737295901
"211"	"ACTR8"	0.00534583780405118
"212"	"ACVR1"	0.0145498142553092
"213"	"ACVR1B"	0.549083953058039
"214"	"ACVR1C"	2.70672824975726e-06
"215"	"ACVR2A"	0.44374403135741
"216"	"ACVR2B"	0.0885463008946145
"217"	"ACVRL1"	0.160365116708739
"218"	"ACY1"	0.0216614480783056
"219"	"ACY3"	0.0323914684091798
"220"	"ACYP1"	0.197801449756713
"221"	"ACYP2"	0.952184617287757
"222"	"ADA"	5.73628273903282e-06
"223"	"ADAD2"	0.76902742151611
"224"	"ADAL"	0.334254757020106
"225"	"ADAM10"	0.783052813689239
"226"	"ADAM11"	5.34114005246167e-08
"227"	"ADAM12"	0.00387996617255781
"228"	"ADAM15"	0.000209600486484551
"229"	"ADAM17"	0.00100641169203941
"230"	"ADAM19"	1.83951425014595e-06
"231"	"ADAM20"	0.406420312845587
